,School,Enrollment,Identified,Breakfast,Lunch,group
881,18566,220.0,104.0,5918.89475806,12152.6331842,1.0
882,18567,362.0,190.0,48484.8314516,10030.6622354,1.0
883,18569,371.0,169.0,4131.60967742,14381.7031814,1.0
884,18573,202.0,110.0,12720.9350806,20558.7051959,1.0
885,18576,316.0,154.0,9626.4266129,21301.0114819,1.0
886,18578,182.0,102.0,12559.9814516,3842.37576474,1.0
887,18589,169.0,95.0,201.541935484,11308.7419355,1.0
888,18617,287.0,118.0,3781.71048387,15538.4905031,1.0
889,18624,335.0,131.0,15531.3254032,47472.9229839,2.0
890,18629,344.0,134.0,19987.6415323,19887.7961043,1.0
891,18633,421.0,183.0,7361.87903226,36429.6491236,1.0
892,18635,416.333333333,148.0,21865.9004032,42074.6782258,1.0
893,18636,214.0,90.0,4303.76008065,14533.0886064,1.0
894,18637,273.0,125.0,7157.53790323,24839.0082302,1.0
895,18642,303.0,133.0,3564.77298387,19134.2824973,1.0
896,18645,291.5,91.0,1938.44153226,3525.82981749,1.0
897,18808,214.0,90.0,27257.1471774,44321.0310484,3.0
898,18816,1273.0,574.0,68949.7354839,105807.066835,1.0
899,18824,335.0,131.0,45959.958871,57355.4758065,3.0
900,18835,308.5,171.0,14333.2705645,25996.1104839,1.0
901,18879,258.0,115.0,17881.2483871,21103.1201613,1.0
902,18883,371.0,150.0,18301.1274194,63246.378629,3.0
903,18892,277.0,83.0,16627.2096774,44094.9166468,3.0
904,18901,412.0,68.0,3366.03024194,45450.8555444,1.0
905,18910,134.0,28.0,4351.34637097,14941.3549899,1.0
906,18912,273.0,47.0,14476.0294355,26412.0268024,1.0
907,18922,190.0,63.0,167.951612903,5117.7972535,1.0
908,18924,90.3720930233,33.1162790698,205.740725806,750.92178377,1.0
909,18936,312.0,162.0,37246.0693548,46987.2629032,3.0
910,18951,147.0,24.0,2624.24395161,14799.0966333,1.0
911,18961,224.0,31.0,5000.75927419,25108.4121134,1.0
912,19007,910.0,539.0,113368.738306,119428.992339,3.0
913,19013,493.0,379.0,30968.8778226,58472.3540323,3.0
914,19089,458.0,309.0,38325.1584677,70104.4028226,3.0
915,19149,364.0,271.0,24497.1423387,92300.6080645,3.0
916,19158,618.0,490.0,93868.1564516,91563.0205645,1.0
917,19190,178.0,126.0,15599.9056452,24800.8548387,3.0
918,19202,506.0,386.0,19825.2883065,59501.0195459,3.0
919,19213,332.0,251.0,48001.9705645,50981.7120968,1.0
920,19224,448.0,342.0,51855.0604839,57470.2427419,2.0
921,19290,534.0,363.0,71137.3052419,58545.1330645,1.0
922,19293,302.0,158.666666667,1976.23064516,11671.9372984,1.0
923,19325,230.0,173.0,24088.4600806,33530.1399194,3.0
924,19328,269.0,230.0,23233.3064516,40253.8028226,3.0
925,19346,633.0,360.0,24544.728629,74084.8560484,2.0
926,19395,204.0,148.0,2268.74637097,5227.00746076,1.0
927,19404,543.0,299.0,24516.7366935,36414.1770242,1.0
928,19422,389.0,214.0,27871.5701613,35898.970622,2.0
929,19431,245.0,121.0,0.0,8835.65443548,1.0
930,19450,83.0,40.0,12372.4354839,12364.0379032,3.0
931,19501,157.0,71.0,61.5822580645,2533.27016129,1.0
932,19504,280.0,176.0,871.948790323,10396.3180414,1.0
933,19507,463.0,287.0,2141.38306452,13859.1200054,1.0
934,19510,253.0,158.0,1031.50282258,8571.02222569,1.0
935,19524,503.0,287.0,10516.5701613,28294.2991497,1.0
936,19551,798.0,421.0,56902.0064516,74538.511064,1.0
937,19552,313.0,187.0,3172.8858871,15519.7589242,1.0
938,19561,418.0,265.0,10764.2987903,19100.1362068,1.0
939,19567,90.3720930233,33.1162790698,1137.87217742,1067.89233871,1.0
940,19577,90.3720930233,33.1162790698,2088.1983871,6775.44798387,1.0
941,19583,216.0,90.0,5958.08346774,19776.3024194,1.0
942,19618,385.0,196.0,6271.59314516,21346.9294991,1.0
943,19639,334.0,181.0,3405.21895161,20808.1730192,1.0
944,19645,239.0,140.0,2519.27419355,11228.6356025,1.0
945,19649,364.0,271.0,7633.40080645,7706.17983871,1.0
946,19659,207.0,116.0,2743.20967742,16119.8378107,1.0
947,19677,554.0,399.0,28452.4028226,63747.4342742,3.0
948,19680,438.0,248.0,69960.2443548,67695.0955924,3.0
949,19683,321.0,181.0,446.471370968,14914.9747219,1.0
950,19695,120.5,85.0,97.9717741935,10636.9354839,1.0
951,19833,373.5,199.0,60764.8935484,76776.6126979,3.0
952,19850,416.0,215.5,17150.658871,41874.6435484,1.0
953,19864,236.0,112.0,2176.37298387,13144.4207661,1.0
954,19867,301.0,171.0,8764.275,24557.4264975,1.0
955,19870,157.0,78.0,22476.1245968,24427.095396,3.0
956,19872,385.0,287.0,18203.1556452,56683.6693548,3.0
957,19873,229.0,122.0,20737.8254032,34847.1604839,3.0
958,19874,373.5,199.0,44493.1814516,46343.4483871,3.0
959,19880,416.0,215.5,33108.8612903,62890.7693159,3.0
960,19884,10.9142857143,3.02857142857,607.425,617.582469658,1.0
961,19887,262.0,157.0,7041.37137097,23300.4870968,1.0
962,19888,333.0,172.0,51095.0794355,54090.2165323,3.0
963,19908,272.0,90.0,0.0,26785.9774873,1.0
964,19946,727.0,209.0,15388.5665323,69436.2809448,1.0
965,19950,90.3720930233,33.1162790698,1731.30120968,1738.29919355,1.0
966,19973,31.6666666667,21.2666666667,597.627822581,3161.45584677,2.0
967,19984,10.9142857143,3.02857142857,752.983064516,771.177822581,1.0
968,19985,10.9142857143,3.02857142857,853.754032258,981.463773555,1.0
969,19986,10.9142857143,3.02857142857,412.881048387,502.905607234,1.0
970,20030,401.0,176.5,12026.7350806,58576.1824788,2.0
971,20069,839.0,401.0,52288.9354839,138824.604435,1.0
972,20102,1421.0,556.0,33100.4637097,157657.368389,1.0
973,20104,640.0,198.0,23562.2116935,97550.7983344,2.0
974,20127,526.0,205.0,19616.7483871,57478.2421614,1.0
975,20163,610.0,335.0,20923.9717742,87028.1847573,1.0
976,20170,1074.0,603.0,71348.6443548,144348.539567,1.0
977,20176,1397.0,715.0,44273.4447581,197757.225864,3.0
978,20180,1167.0,632.0,21704.9467742,135600.366515,1.0
979,20182,363.0,63.0,14900.1072581,34801.8391899,1.0
980,20185,666.0,158.0,17976.4209677,62417.3974597,1.0
981,20200,1292.0,635.0,24066.0665323,125053.10386,1.0
982,20204,1178.0,453.0,110716.502419,152392.839681,2.0
983,20229,1244.0,304.0,22641.2770161,134987.650565,2.0
984,20264,503.0,213.0,41404.271371,56600.6983335,3.0
